Title,Published,Views,Likes,Dislikes,Comments
Collaborator,2012,30830,119,12,17
The We And the I,2012,179391,456,71,97
Myn Bala: Warriors of the Steppe,2012,147111,298,45,222
Pray For Japan,2012,42892,287,10,73
Pina,2011,26912,131,16,12
Finding Nemo,2012,314120,468,76,78
The Aggression Scale,2012,122610,275,45,72
How to Grow a Band,2012,33457,111,16,11
The Adventures of Tintin,2011,62026,199,6,63
This Means War Interviews,2012,192326,513,15,200
Return,2012,43872,153,13,27
Top 5 Pick Up Lines,2012,63825,114,14,43
War Horse,2011,60472,205,7,44
Wanderlust,2012,416601,376,56,52
Otter 501,2012,21112,98,8,18
China Heavyweight,2012,25008,93,13,58
El Gringo,2012,708577,780,155,131
Hit So Hard,2012,85668,452,91,66
The Amazing Spider-Man,2012,210213,713,66,209
Katy Perry Part of Me,2012,75138,649,123,93
Chronicle,2012,117571,314,16,110
Espace ,2012,546456,405,44,97
Journey 2: The Mysterious Island #4 CLIP,2012,61453,129,14,22
G.I. Joe 2: Retaliation TV SPOT #1,2012,169305,333,14,110
We Need To Talk About Kevin #1 Clip,2012,40441,226,4,16
Haywire,2012,13536,61,1,14
Wings,2012,24581,105,4,19
The Amazing Spider-Man Australian,2012,524086,818,109,422
Pina,2012,5638,16,2,4
Natural Selection,2012,18488,60,9,8
Snow White & the Huntsman Extended TV SPOT,2012,80637,184,10,54
The Body,2012,469226,430,43,76
Switch,2012,851343,719,160,225
Area 407,2012,674619,1357,357,749
7 Days in Havana,2012,55397,101,17,10
New Year's Eve,2011,107574,251,20,37
The Purity Myth,2012,119894,677,184,212
Dark Tide,2012,264332,430,111,67
The Invisible War,2012,119743,350,41,179
Prometheus International Title-less,2012,149534,384,15,88
The Adventures of Tintin #2 Clip,2012,47638,173,7,60
Vanishing Waves,2012,168722,415,93,129
1/2 Revolution,2012,10719,87,10,12
Fightville,2012,31989,117,24,21
Hide Away,2012,66593,107,22,33
Thin Ice,2012,22724,63,11,6
Journey 2: The Mysterious Island #1 CLIP,2012,111972,227,15,32
